state,howner_q1,howner_q1_moe,howner_q2,howner_q2_moe,howner_q3,howner_q3_moe,howner_q4,howner_q4_moe,year
District of Columbia,46,2.8,44.4,2.8,43.3,2.8,45.9,2.8,2009
Florida,71.3,1.7,72.5,1.7,70.9,1.7,68.9,1.7,2009
Georgia,68.2,2.3,67.2,2.4,65.8,2.4,68.3,2.3,2009
Hawaii,60,3.3,59.9,3.4,59.2,3.3,58.9,3.3,2009
Idaho,74.9,3.3,74.3,3.3,76.2,3.3,76.3,3.3,2009
Illinois,68.6,2,69.2,2,69.3,2,69.4,2,2009
Indiana,72.1,2.8,72.4,2.8,71.8,2.8,71.8,2.8,2009
Iowa,72.8,2.4,72.7,2.4,72.1,2.5,72.1,2.4,2009
Kansas,65.4,3,66.8,2.9,68.5,2.9,68.9,2.9,2009
Kentucky,72.4,2.9,71.7,2.9,71.3,2.9,69.4,2.9,2009
Louisiana,72.7,3.4,68.8,3.5,73.1,3.4,73,3.4,2009
Maine,74.7,2.6,74.4,2.5,72.9,2.6,74.2,2.6,2009
Maryland,71.4,2.3,70.1,2.3,68.5,2.3,68.6,2.3,2009
Massachusetts,64.6,2.9,65.4,2.9,65.8,2.9,64.7,2.9,2009
Michigan,74.2,2.1,74.4,2.1,75.9,2.1,73.5,2.2,2009
Minnesota,71.5,2.2,72.8,2.2,74.2,2.1,73.1,2.2,2009
Mississippi,74.8,3.5,75,3.5,75.9,3.4,76.2,3.4,2009
Missouri,71.5,2.6,71.4,2.6,72.8,2.5,72.3,2.5,2009
Montana,73.2,3.2,68.8,3.4,69.2,3.4,71.7,3.4,2009
Nebraska,70.6,2.8,69.9,2.8,69.7,2.8,70.8,2.8,2009
Nevada,63.3,3,63.8,2.9,62.2,2.9,60.3,3,2009
New Hampshire,76.5,2.2,75.3,2.3,76.6,2.3,75.7,2.3,2009
New Jersey,66.6,2.5,66.2,2.5,65.2,2.6,65.6,2.6,2009
New Mexico,68.2,3.7,68.6,3.7,70.8,3.5,68.6,3.6,2009
New York,53.2,1.8,54.7,1.8,54.7,1.8,54.9,1.8,2009
North Carolina,69.3,2.5,71.6,2.4,71,2.4,68.5,2.5,2009
North Dakota,67.5,3.3,63.7,3.4,64.9,3.3,66.7,3.3,2009
Ohio,69.7,2.1,67.9,2.1,70.6,2.1,70.8,2,2009
Oklahoma,69.6,3.2,70.2,3.2,70.2,3.2,68.4,3.3,2009
Oregon,67.2,3.1,66.9,3.1,69.3,3,69.3,3,2009
Pennsylvania,72.4,2,72.8,2,72.2,2,71.4,2,2009
Rhode Island,63.4,2.7,62.7,2.7,62.3,2.7,63,2.8,2009
South Carolina,74.6,3,76.4,2.9,75.4,2.9,71.1,3.1,2009
South Dakota,69.7,2.8,69.4,2.8,68.6,2.8,70.6,2.8,2009
Tennessee,69.7,2.9,71,2.9,71.8,2.9,71.9,2.9,2009
Texas,64.3,1.6,65.7,1.6,66,1.6,65.4,1.6,2009
Utah,76.5,3,73.3,3.2,73.7,3.1,72.9,3.1,2009
Vermont,74.6,2.8,73.3,2.9,73.8,2.9,75.6,2.8,2009
Virginia,70.7,2.3,68.8,2.3,69,2.4,70.2,2.4,2009
Washington,66.2,2.7,66,2.7,65.3,2.7,64.5,2.7,2009
West Virginia,80.8,2.8,79.1,2.9,76.8,3,78.2,3,2009
Wisconsin,70.3,2.5,69.1,2.6,71,2.5,70.9,2.5,2009
Wyoming,74.4,3,72.9,3.1,73.6,3.1,74.2,3.1,2009
Alabama,72,3.3,73.2,3.3,73.5,3.3,73.4,3.3,2008
Alaska,67.1,3.3,64.6,3.1,66.9,3.1,67,3.3,2008
Arizona,70.8,3,67.4,3.1,68.7,3,69.3,2.9,2008
Arkansas,67.6,3.5,68.9,3.3,69.6,3.5,69.6,3.4,2008
California,56.9,1.3,57.7,1.3,58.5,1.3,56.9,1.3,2008
Colorado,70.2,2.5,69.1,2.5,68.2,2.5,68.5,2.5,2008
Connecticut,70.5,2.3,71.3,2.3,70.2,2.3,70.8,2.3,2008
Delaware,75.7,2.6,75.7,2.6,76.8,2.6,76.4,2.7,2008
District of Columbia,44.6,2.8,42.5,2.8,44.2,2.8,45,2.8,2008
Florida,71.2,1.6,72.4,1.6,70.6,1.6,70.1,1.7,2008
Georgia,67.7,2.3,68.7,2.3,67.1,2.3,69.3,2.3,2008
Hawaii,60.5,3.3,60.2,3.3,57.9,3.3,58,3.3,2008
Idaho,75.2,3.3,74.7,3.3,76.8,3.3,73.3,3.4,2008
Illinois,70,2,69.3,2,68.5,2,67.7,2,2008
Indiana,74,2.6,75.3,2.6,75.2,2.6,73.2,2.8,2008
Iowa,73.3,2.5,75.1,2.3,74.3,2.3,73.1,2.4,2008
Kansas,67.5,3,68.5,3,71,2.8,68.2,2.9,2008
Kentucky,74.3,2.8,73,2.8,72,2.8,71.9,2.9,2008
Louisiana,74.6,3.5,73.3,3.5,73.6,3.5,72.4,3.4,2008
Maine,73.3,2.6,73.8,2.6,74.8,2.5,73.8,2.6,2008
Maryland,71.1,2.3,71.9,2.3,70,2.3,69.4,2.3,2008
Massachusetts,65.1,3,67,3,64.9,3,65.6,2.9,2008
Michigan,75.7,2.1,75.3,2.1,77.4,2,75.2,2.1,2008
Minnesota,73.2,2.1,72.8,2.1,73.7,2.1,72.7,2.2,2008
Mississippi,73.4,3.6,76.7,3.5,75.3,3.5,76.2,3.4,2008
Missouri,71.3,2.6,71.9,2.6,70.6,2.6,72,2.6,2008
